annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2018-2019;0590125R;Lycée Hôtelier International de Lille;HAUTS-DE-FRANCE;dont apprentis;37.0;62.0;55.0;7.0;69.0;69.0;79.0;;;
cumul 2018-2019;0590133Z;Lycée professionnel Maurice Duhamel;HAUTS-DE-FRANCE;ensemble;47.0;34.0;31.0;3.0;44.0;44.0;50.0;;;
cumul 2018-2019;0590184E;Lycée général Jean Rostand;HAUTS-DE-FRANCE;ensemble;36.0;;;;;;;;;
cumul 2018-2019;0590184E;Lycée général Jean Rostand;HAUTS-DE-FRANCE;dont apprentis;17.0;;;;;;;;;
cumul 2018-2019;0590185F;LPO Jean Moulin - Lycée des métiers de la sécurité et de la prévention - Lycée des métiers des services administratifs et de la relation aux clients;HAUTS-DE-FRANCE;dont élèves en voie pro sco;46.0;50.0;47.0;3.0;41.0;49.0;48.0;;;
cumul 2018-2019;0590198V;Lycée professionnel Georges Guynemer;HAUTS-DE-FRANCE;dont élèves en voie pro sco;48.0;28.0;28.0;0.0;42.0;42.0;45.0;;;
cumul 2018-2019;0590207E;Lycée général et technologique Louis Pasteur;HAUTS-DE-FRANCE;ensemble;38.0;62.0;53.0;8.0;50.0;65.0;65.0;;;
cumul 2018-2019;0590214M;Lycée polyvalent Colbert - Lycée des métiers du numérique et des technologies innovantes;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0590216P;Lycée professionnel Le Corbusier;HAUTS-DE-FRANCE;ensemble;54.0;25.0;27.0;-2.0;27.0;32.0;37.0;;;
cumul 2018-2019;0590217R;Lycée professionnel Sévigné - Lycée des Métiers de la Mode et des Textiles;HAUTS-DE-FRANCE;ensemble;56.0;34.0;28.0;5.0;35.0;36.0;44.0;;;
cumul 2018-2019;0590221V;Lycée général et technologique Henri Wallon;HAUTS-DE-FRANCE;ensemble;43.0;50.0;50.0;0.0;55.0;55.0;60.0;;;
cumul 2018-2019;0590233H;Lycée polyvalent Emile Zola;HAUTS-DE-FRANCE;ensemble;52.0;35.0;42.0;-7.0;38.0;40.0;47.0;;;
cumul 2018-2019;0590252D;Lycée professionnel Louis-Léopold Boilly;HAUTS-DE-FRANCE;ensemble;49.0;27.0;30.0;-3.0;36.0;41.0;39.0;;;
cumul 2018-2019;0590252D;Lycée professionnel Louis-Léopold Boilly;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
