annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2019-2020;0011010T;Lycée professionnel du Bugey;AUVERGNE-RHONE-ALPES;ensemble;44.0;34.0;32.0;2.0;38.0;;;;;
cumul 2019-2020;0020050U;Lycée d'enseignement général et technologique Condorcet;HAUTS-DE-FRANCE;dont apprentis;30.0;;;;;;;;;
cumul 2019-2020;0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;49.0;26.0;25.0;1.0;32.0;;;;;
cumul 2019-2020;0020078Z;Lycée professionnel Julie Daubie;HAUTS-DE-FRANCE;dont élèves en voie pro sco;49.0;15.0;22.0;-7.0;24.0;;;;;
cumul 2019-2020;0060027X;Lycée professionnel Pierre et Marie Curie - Lycée des métiers de l'enseigne, de la signalétique et du développement durable;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;41.0;20.0;31.0;-11.0;28.0;;;;;
cumul 2019-2020;0060038J;Lycée professionnel Vauban;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;42.0;26.0;31.0;-5.0;37.0;;;;;
cumul 2019-2020;0070002P;Lycée professionnel Joseph et Etienne De Montgolfier;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;36.0;31.0;31.0;;44.0;;;;;
cumul 2019-2020;0090024C;Lycée professionnel Dr Philippe Tissié - Lycée des métiers maintenance des engins mécaniques;OCCITANIE;dont élèves en voie pro sco;69.0;43.0;45.0;-2.0;51.0;;;;;
cumul 2019-2020;0100016N;Lycée professionnel Denis Diderot;GRAND EST;ensemble;51.0;21.0;31.0;-10.0;29.0;;;;;
cumul 2019-2020;0120037A;Lycée professionnel Alexis Monteil - Lycée des métiers industrie et communication;OCCITANIE;ensemble;58.0;45.0;41.0;4.0;57.0;;;;;
cumul 2019-2020;0130049H;Lycée POlyvalent du Rempart;PROVENCE-ALPES-COTE D'AZUR;ensemble;38.0;58.0;49.0;9.0;68.0;;;;;
cumul 2019-2020;0130056R;Lycée professionnel lycée des métiers La Floride;PROVENCE-ALPES-COTE D'AZUR;dont élèves en voie pro sco;30.0;29.0;36.0;-8.0;36.0;;;;;
cumul 2019-2020;0130063Y;Lycée professionnel Leau - Lycée des métiers de l'esthétique, de la coiffure et des métiers associés;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;;;;;;;;;;
cumul 2019-2020;0130150T;Lycée professionnel Jean Moulin - Lycée des métiers de la maintenance, de l'automobile et du nautisme;PROVENCE-ALPES-COTE D'AZUR;ensemble;41.0;44.0;46.0;-1.0;52.0;;;;;
cumul 2019-2020;0133314G;Lycée général et technologique privé Saint Louis - Sainte Marie;PROVENCE-ALPES-COTE D'AZUR;ensemble;;;;;;;;;;
cumul 2019-2020;0141193W;Lycée professionnel privé Notre Dame de Nazareth;NORMANDIE;ensemble;41.0;43.0;37.0;6.0;51.0;;;;;
cumul 2019-2020;0150008C;Lycée professionnel Raymond Cortat - Lycée des métiers de la restauration et du service aux personnes et aux entreprises;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2019-2020;0170042D;Lycée d'enseignement général et technologique Cordouan - Lycée des métiers du tourisme;NOUVELLE-AQUITAINE;ensemble;37.0;41.0;53.0;-12.0;70.0;;;;;
cumul 2019-2020;0170052P;Lycée professionnel Blaise Pascal - Lycée des métiers de la maintenance, de la sécurité et des travaux publics;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;46.0;40.0;38.0;2.0;50.0;;;;;
cumul 2019-2020;0210003P;Lycée polyvalent Prieur de La Côte d'Or;BOURGOGNE-FRANCHE-COMTE;dont élèves en voie pro sco;50.0;36.0;43.0;-7.0;55.0;;;;;
cumul 2019-2020;0210018F;Lycée polyvalent Hippolyte Fontaine, lycée des métiers;BOURGOGNE-FRANCHE-COMTE;ensemble;49.0;57.0;50.0;7.0;60.0;;;;;
cumul 2019-2020;0210019G;Lycée polyvalent Le Castel;BOURGOGNE-FRANCHE-COMTE;ensemble;43.0;52.0;49.0;3.0;52.0;;;;;
cumul 2019-2020;0220186H;Lycée professionnel Rosa Parks - Lycée des métiers des services à la personne et de la sécurité;BRETAGNE;dont apprentis;5.0;57.0;69.0;-12.0;52.0;;;;;
cumul 2019-2020;0250014E;Lycée professionnel Condé - Lycée des métiers des services et soins à la personne et de l'hôtellerie-restauration;BOURGOGNE-FRANCHE-COMTE;ensemble;44.0;31.0;31.0;-1.0;34.0;;;;;
cumul 2019-2020;0251112Y;Lycée professionnel privé Saint Bénigne;BOURGOGNE-FRANCHE-COMTE;ensemble;46.0;31.0;40.0;-9.0;27.0;;;;;
cumul 2019-2020;0251711Z;Lycée polyvalent Claude Nicolas Ledoux;BOURGOGNE-FRANCHE-COMTE;ensemble;47.0;65.0;62.0;3.0;69.0;;;;;
cumul 2019-2020;0261100E;Lycée Professionnel Amblard - Lycée des métiers d'art, de la bijouterie-joaillerie;AUVERGNE-RHONE-ALPES;ensemble;56.0;37.0;37.0;;43.0;;;;;
cumul 2019-2020;0261139X;Lycée professionnel privé Montplaisir - Lycée des métiers des technologies médico-sociales, de l'administration et de la gestion d'entreprise;AUVERGNE-RHONE-ALPES;ensemble;54.0;51.0;46.0;5.0;61.0;;;;;
cumul 2019-2020;0271097W;Lycée professionnel Risle-Seine - Lycée des métiers des services aux entreprises;NORMANDIE;ensemble;48.0;42.0;43.0;-2.0;49.0;;;;;
cumul 2019-2020;0271282X;Lycée général et technologique privé Jeanne d'Arc - Saint Anselme;NORMANDIE;ensemble;64.0;;;;;;;;;
cumul 2019-2020;0281021H;Lycée professionnel Sully - Lycée des métiers maintenance, réseaux, énergies;CENTRE-VAL DE LOIRE;dont élèves en voie pro sco;67.0;38.0;35.0;3.0;30.0;;;;;
cumul 2019-2020;0290022S;Lycée polyvalent Paul Sérusier;BRETAGNE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0290030A;Lycée polyvalent Pierre Guéguin - Lycée des métiers de l'énergie industrielle - Lycée des métiers du nautisme;BRETAGNE;ensemble;55.0;41.0;39.0;2.0;59.0;;;;;
cumul 2019-2020;0290108K;Lycée polyvalent Dupuy de Lôme;BRETAGNE;dont élèves en voie pro sco;48.0;35.0;39.0;-4.0;45.0;;;;;
cumul 2019-2020;0291633T;Lycée professionnel René Laënnec - Lycée des métiers des services à la personne;BRETAGNE;ensemble;55.0;37.0;32.0;5.0;40.0;;;;;
cumul 2019-2020;0300058A;Lycée professionnel Frédéric Mistral, lycée des métiers de la construction;OCCITANIE;ensemble;57.0;29.0;29.0;;41.0;;;;;
cumul 2019-2020;0310057U;Lycée professionnel Hélène Boucher - Lycée des métiers des soins à la personne;OCCITANIE;dont élèves en voie pro sco;55.0;42.0;39.0;2.0;49.0;;;;;
cumul 2019-2020;0311133N;Lycée général et technologique privé Le Caousou;OCCITANIE;ensemble;64.0;;;;;;;;;
cumul 2019-2020;0311883D;Lycée professionnel privé Jasmin Coiffure;OCCITANIE;ensemble;68.0;18.0;30.0;-12.0;25.0;;;;;
cumul 2019-2020;0312062Y;Lycée professionnel privé ISSEC PIGIER -  Lycée des métiers;OCCITANIE;ensemble;47.0;50.0;38.0;12.0;47.0;;;;;
cumul 2019-2020;0312686B;Lycée Polyvalent Saint-Exupéry - Lycée des métiers de la productique et de la maintenance aéronautique;OCCITANIE;dont élèves en voie pro sco;58.0;47.0;44.0;4.0;46.0;;;;;
cumul 2019-2020;0312746S;Lycee polyvalent Marie Louise Dissard Françoise;OCCITANIE;ensemble;55.0;32.0;34.0;-2.0;34.0;;;;;
cumul 2019-2020;0320030J;Lycée professionnel Clément Ader - Lycée des métiers de l'électrotechnique, de la maintenance et de l'usinage;OCCITANIE;dont apprentis;7.0;72.0;75.0;-3.0;80.0;;;;;
cumul 2019-2020;0330027A;Lycée général et technologique François Mauriac;NOUVELLE-AQUITAINE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0331739L;Etablissement régional d'enseignement adapté de la Plaine;NOUVELLE-AQUITAINE;ensemble;40.0;6.0;17.0;-11.0;18.0;;;;;
cumul 2019-2020;0331760J;Lycée général et technologique Fernand Daguin;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;46.0;54.0;59.0;-5.0;72.0;;;;;
cumul 2019-2020;0332346W;Lycée professionnel Philippe Cousteau;NOUVELLE-AQUITAINE;ensemble;44.0;33.0;35.0;-2.0;42.0;;;;;
cumul 2019-2020;0370749N;Lycée général et technologique privé Sainte-Marguerite;CENTRE-VAL DE LOIRE;ensemble;35.0;51.0;54.0;-2.0;58.0;;;;;
cumul 2019-2020;0370757X;Lycée professionnel privé Notre Dame La Riche, sous le patronage de Saint Vincent de Paul;CENTRE-VAL DE LOIRE;ensemble;56.0;38.0;33.0;4.0;44.0;;;;;
cumul 2019-2020;0371100V;Lycée professionnel Joseph Cugnot - Lycée des métiers de l'industrie et des services;CENTRE-VAL DE LOIRE;ensemble;42.0;42.0;38.0;4.0;56.0;;;;;
cumul 2019-2020;0380014J;Lycée polyvalent Hector Berlioz;AUVERGNE-RHONE-ALPES;dont apprentis;50.0;;;;;;;;;
cumul 2019-2020;0381666E;Lycée général et technologique privé Pierre Termier;AUVERGNE-RHONE-ALPES;ensemble;49.0;50.0;55.0;-5.0;77.0;;;;;
cumul 2019-2020;0381741L;Lycée professionnel privé Le Breda - Lycée des métiers du commerce du social et des services à la personne;AUVERGNE-RHONE-ALPES;ensemble;32.0;34.0;37.0;-3.0;52.0;;;;;
cumul 2019-2020;0390015E;Lycée professionnel Jacques Prévert - Lycée des métiers de la mode et de l'esthétique;BOURGOGNE-FRANCHE-COMTE;ensemble;47.0;38.0;34.0;5.0;42.0;;;;;
cumul 2019-2020;0390914G;Lycée professionnel Ferdinand Fillod - Lycée des métiers des arts du métal;BOURGOGNE-FRANCHE-COMTE;dont élèves en voie pro sco;62.0;45.0;34.0;10.0;28.0;;;;;
cumul 2019-2020;0391092A;Lycée polyvalent Paul-Emile Victor - Lycée des métiers de la production et de la maintenance industrielles;BOURGOGNE-FRANCHE-COMTE;ensemble;53.0;36.0;44.0;-8.0;42.0;;;;;
cumul 2019-2020;0400007R;Lycée polyvalent de Borda;NOUVELLE-AQUITAINE;ensemble;45.0;50.0;48.0;2.0;62.0;;;;;
cumul 2019-2020;0400017B;Lycée général et technologique Victor Duruy;NOUVELLE-AQUITAINE;ensemble;14.0;41.0;53.0;-12.0;72.0;;;;;
cumul 2019-2020;0400020E;Lycée professionnel Robert Wlerick - Lycée des métiers des services;NOUVELLE-AQUITAINE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0401002X;Lycée polyvalent Haroun Tazieff - Lycée des métiers du bois;NOUVELLE-AQUITAINE;dont apprentis;22.0;66.0;69.0;-3.0;66.0;;;;;
cumul 2019-2020;0420073B;Lycée professionnel Jacob Holtzer;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2019-2020;0420077F;Lycée professionnel Albert Thomas;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;54.0;42.0;32.0;10.0;42.0;;;;;
cumul 2019-2020;0421021G;Lycée général privé Externat Saint Michel;AUVERGNE-RHONE-ALPES;ensemble;35.0;42.0;54.0;-12.0;52.0;;;;;
cumul 2019-2020;0440029T;Lycée général et technologique Livet;PAYS DE LA LOIRE;dont apprentis;17.0;80.0;73.0;7.0;90.0;;;;;
cumul 2019-2020;0440149Y;Lycée général et technologique privé Saint Joseph;PAYS DE LA LOIRE;ensemble;19.0;69.0;62.0;7.0;83.0;;;;;
cumul 2019-2020;0440246D;Lycée polyvalent privé Sacré-Coeur La Salle;PAYS DE LA LOIRE;ensemble;37.0;50.0;52.0;-2.0;62.0;;;;;
cumul 2019-2020;0440541Z;Lycée professionnel des Trois Rivières;PAYS DE LA LOIRE;dont élèves en voie pro sco;54.0;35.0;37.0;-2.0;54.0;;;;;
cumul 2019-2020;0441552Y;Lycée Polyvalent les Bourdonnières;PAYS DE LA LOIRE;ensemble;42.0;54.0;53.0;1.0;64.0;;;;;
cumul 2019-2020;0441993C;Lycée général et technologique Carcouët;PAYS DE LA LOIRE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0450066C;Lycée professionnel Mal Leclerc - Lycée des métiers de la maintenance automobile, des équipements industriels, du transports et de la logistique;CENTRE-VAL DE LOIRE;ensemble;32.0;57.0;50.0;7.0;58.0;;;;;
cumul 2019-2020;0460028F;Lycée polyvalent Louis Vicat - Lycée des métiers construction et énergétique bâtiment;OCCITANIE;dont apprentis;44.0;;;;;;;;;
cumul 2019-2020;0460529A;Lycée professionnel hôtelier Quercy-Périgord - Lycée des métiers de l'hôtellerie et restauration;OCCITANIE;dont apprentis;19.0;;;;;;;;;
cumul 2019-2020;0470015L;Lycée professionnel Porte du Lot - Lycée des métiers de la maintenance et des travaux publics;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;56.0;47.0;37.0;9.0;47.0;;;;;
cumul 2019-2020;0500036T;Lycée polyvalent Julliot de La Morandière - Lycée des métiers du nautisme;NORMANDIE;dont apprentis;39.0;68.0;75.0;-6.0;84.0;;;;;
cumul 2019-2020;0511884W;Lycée polyvalent Georges Brière - Lycée des métiers de l'industrie, de la défense et du graphisme;GRAND EST;ensemble;52.0;31.0;37.0;-7.0;36.0;;;;;
cumul 2019-2020;0540085Z;Lycée professionnel Bertrand Schwartz - Lycée des métiers de la logistique et des services;GRAND EST;ensemble;47.0;37.0;39.0;-2.0;52.0;;;;;
cumul 2019-2020;0542208G;Lycée polyvalent Stanislas;GRAND EST;ensemble;46.0;54.0;47.0;7.0;64.0;;;;;
cumul 2019-2020;0551032Y;Lyceé professionnel privé Sainte Jeanne d'Arc;GRAND EST;ensemble;40.0;28.0;33.0;-5.0;49.0;;;;;
cumul 2019-2020;0560217G;Etablissement régional d'enseignement adapté Les Pins;BRETAGNE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0570108H;Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques;GRAND EST;dont apprentis;25.0;60.0;65.0;-6.0;70.0;;;;;
cumul 2019-2020;0573231C;Lycée Condorcet - Lycée des métiers des sciences et des technologies de l' information et de la communication;GRAND EST;ensemble;51.0;41.0;39.0;2.0;37.0;;;;;
cumul 2019-2020;0580071M;Lycée polyvalent privé Notre Dame;BOURGOGNE-FRANCHE-COMTE;ensemble;43.0;40.0;44.0;-4.0;48.0;;;;;
cumul 2019-2020;0590083V;Lycée polyvalent Camille Claudel;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0590122M;Lycée polyvalent Valentine Labbé;HAUTS-DE-FRANCE;ensemble;42.0;39.0;38.0;1.0;46.0;;;;;
cumul 2019-2020;0590122M;Lycée polyvalent Valentine Labbé;HAUTS-DE-FRANCE;dont élèves en voie pro sco;51.0;36.0;39.0;-3.0;45.0;;;;;
cumul 2019-2020;0590215N;Lycée général et technologique Sévigné;HAUTS-DE-FRANCE;ensemble;50.0;44.0;45.0;-1.0;46.0;;;;;
cumul 2019-2020;0590257J;Lycée professionnel Ile de Flandre;HAUTS-DE-FRANCE;dont apprentis;11.0;54.0;42.0;12.0;46.0;;;;;
cumul 2019-2020;0593027V;Lycée professionnel privé Industries Lilloises - Lycée des Métiers de la Construction de l'Environnement et des Énergies;HAUTS-DE-FRANCE;ensemble;62.0;30.0;38.0;-8.0;40.0;;;;;
cumul 2019-2020;0601946P;Lycée professionnel privé Jean-paul II;HAUTS-DE-FRANCE;ensemble;52.0;47.0;35.0;12.0;41.0;;;;;
cumul 2019-2020;0620095S;Lycée Polyvalent Louis Pasteur;HAUTS-DE-FRANCE;dont élèves en voie pro sco;55.0;42.0;41.0;1.0;53.0;;;;;
cumul 2019-2020;0622114L;Lycée polyvalent privé Saint Paul;HAUTS-DE-FRANCE;ensemble;48.0;42.0;48.0;-6.0;49.0;;;;;
cumul 2019-2020;0622801H;Lycée Professionnel Jean Bertin - Lycée des Métiers des Travaux Publics;HAUTS-DE-FRANCE;dont élèves en voie pro sco;60.0;65.0;53.0;12.0;76.0;;;;;
cumul 2019-2020;0622803K;Lycée général et technologique Blaise Pascal;HAUTS-DE-FRANCE;ensemble;33.0;55.0;55.0;1.0;67.0;;;;;
cumul 2019-2020;0622807P;Lycée Polyvalent Hôtelier;HAUTS-DE-FRANCE;dont élèves en voie pro sco;46.0;59.0;47.0;12.0;71.0;;;;;
cumul 2019-2020;0630061Z;Lycée professionnel Desaix;AUVERGNE-RHONE-ALPES;ensemble;40.0;44.0;46.0;-1.0;54.0;;;;;
cumul 2019-2020;0631048X;Lycée professionnel privé René Rambaud - Coiffure;AUVERGNE-RHONE-ALPES;ensemble;52.0;68.0;56.0;12.0;68.0;;;;;
cumul 2019-2020;0631075B;Lycée général et technologique privé Saint Alyre;AUVERGNE-RHONE-ALPES;ensemble;52.0;52.0;53.0;-1.0;77.0;;;;;
cumul 2019-2020;0631985R;Lycée polyvalent Pierre Joël Bonté - Lycée des métiers des sciences et techniques de l'habitat et des travaux publics;AUVERGNE-RHONE-ALPES;dont apprentis;21.0;77.0;76.0;1.0;85.0;;;;;
cumul 2019-2020;0640001D;Lycée polyvalent Cantau - Lycée des métiers du bâtiment;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;60.0;56.0;49.0;7.0;64.0;;;;;
cumul 2019-2020;0640026F;Lycée professionnel - Lycée des métiers de l'habitat et de l'industrie;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;40.0;35.0;37.0;-2.0;48.0;;;;;
cumul 2019-2020;0640098J;Lycée professionnel Gabriel Haure-Place - Lycée des métiers d'art design, mobilier et décoration;NOUVELLE-AQUITAINE;ensemble;75.0;25.0;37.0;-12.0;42.0;;;;;
cumul 2019-2020;0650038N;Lycée général Pierre Mendès France;OCCITANIE;ensemble;;;;;;;;;;
cumul 2019-2020;0650885J;Lycée polyvalent privé Notre-Dame de Garaison;OCCITANIE;ensemble;70.0;;;;;;;;;
cumul 2019-2020;0660014G;Lycée polyvalent Pablo Picasso;OCCITANIE;ensemble;42.0;28.0;27.0;1.0;44.0;;;;;
cumul 2019-2020;0670050R;Lycée professionnel Paul-Emile Victor - Lycée des métiers;GRAND EST;dont apprentis;37.0;71.0;73.0;-2.0;77.0;;;;;
cumul 2019-2020;0670078W;Lycée général et technologique Jean Monnet;GRAND EST;ensemble;34.0;67.0;58.0;9.0;68.0;;;;;
cumul 2019-2020;0670089H;Lycée polyvalent Emile Mathis - Lycée des métiers;GRAND EST;dont élèves en voie pro sco;32.0;39.0;43.0;-4.0;51.0;;;;;
cumul 2019-2020;0681882B;Lycée polyvalent Martin Schongauer;GRAND EST;ensemble;42.0;35.0;36.0;-1.0;52.0;;;;;
cumul 2019-2020;0690037R;Lycée général et technologique La Martinière Diderot;AUVERGNE-RHONE-ALPES;dont élèves en voie pro sco;52.0;42.0;52.0;-11.0;58.0;;;;;
cumul 2019-2020;0690048C;Lycée professionnel Diderot - Lycée des métiers du textile, de l'habillement et de la maintenance industrielle;AUVERGNE-RHONE-ALPES;dont apprentis;;;;;;;;;;
cumul 2019-2020;0693478F;Lycée général et technologique Condorcet;AUVERGNE-RHONE-ALPES;ensemble;35.0;68.0;61.0;7.0;68.0;;;;;
cumul 2019-2020;0701078S;Lycée polyvalent Lumière;BOURGOGNE-FRANCHE-COMTE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0710042K;Lycée polyvalent Henri Vincenot;BOURGOGNE-FRANCHE-COMTE;dont élèves en voie pro sco;50.0;45.0;39.0;6.0;50.0;;;;;
cumul 2019-2020;0711494N;Lycée polyvalent privé Saint Lazare;BOURGOGNE-FRANCHE-COMTE;ensemble;48.0;14.0;26.0;-12.0;33.0;;;;;
cumul 2019-2020;0720017C;Lycée Polyvalent Robert Garnier - Lycée des métiers des services et de l'industrie;PAYS DE LA LOIRE;ensemble;50.0;49.0;45.0;4.0;63.0;;;;;
cumul 2019-2020;0721094Y;Lycée polyvalent Le Mans Sud;PAYS DE LA LOIRE;dont élèves en voie pro sco;50.0;49.0;45.0;4.0;52.0;;;;;
cumul 2019-2020;0721094Y;Lycée polyvalent Le Mans Sud;PAYS DE LA LOIRE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0730029K;Lycée polyvalent Ambroise Croizat - Lycée des métiers des services de montagne;AUVERGNE-RHONE-ALPES;ensemble;49.0;51.0;47.0;4.0;55.0;;;;;
cumul 2019-2020;0730773U;Lycée professionnel privé Jeanne d'Arc;AUVERGNE-RHONE-ALPES;ensemble;57.0;43.0;36.0;7.0;41.0;;;;;
cumul 2019-2020;0731045P;Etablissement régional d'enseignement adapté Léa Le Mirantin;AUVERGNE-RHONE-ALPES;ensemble;37.0;23.0;35.0;-12.0;35.0;;;;;
cumul 2019-2020;0750502N;Lycée polyvalent Maximilien Vox-arts appliqués - design de communication - industries graphiques;ILE-DE-FRANCE;ensemble;65.0;32.0;25.0;8.0;32.0;;;;;
cumul 2019-2020;0750676C;Lycée polyvalent Dorian - Lycée des métiers de la mécatronique, de la topographie et de la verrerie;ILE-DE-FRANCE;dont apprentis;29.0;59.0;71.0;-11.0;58.0;;;;;
cumul 2019-2020;0750691U;Lycée polyvalent Raspail - Lycée des métiers des énergies et de l'environnement;ILE-DE-FRANCE;dont apprentis;35.0;72.0;73.0;-1.0;72.0;;;;;
cumul 2019-2020;0750697A;Lycée Technologique Bâtiment-Saint Lambert;ILE-DE-FRANCE;dont apprentis;36.0;64.0;76.0;-12.0;71.0;;;;;
cumul 2019-2020;0750800M;Lycée professionnel Edmond Rostand;ILE-DE-FRANCE;dont élèves en voie pro sco;54.0;31.0;26.0;4.0;29.0;;;;;
cumul 2019-2020;0750800M;Lycée professionnel Edmond Rostand;ILE-DE-FRANCE;dont apprentis;;4.0;16.0;-12.0;9.0;;;;;
cumul 2019-2020;0751710B;Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau;ILE-DE-FRANCE;dont apprentis;35.0;42.0;54.0;-12.0;50.0;;;;;
cumul 2019-2020;0754016H;Lycée polyvalent privé L'Initiative;ILE-DE-FRANCE;ensemble;44.0;41.0;40.0;1.0;40.0;;;;;
cumul 2019-2020;0760062E;Lycée professionnel Jules Le Cesne - Lycée des métiers de l'hôtellerie, de la restauration et des services;NORMANDIE;dont élèves en voie pro sco;47.0;33.0;28.0;5.0;35.0;;;;;
cumul 2019-2020;0760109F;Lycée général et technologique les Bruyères;NORMANDIE;ensemble;35.0;45.0;50.0;-5.0;49.0;;;;;
cumul 2019-2020;0762601P;Lycée polyvalent Georges Brassens;NORMANDIE;ensemble;47.0;17.0;29.0;-12.0;28.0;;;;;
cumul 2019-2020;0763500S;Lycée polyvalent privé Saint Vincent de Paul - Lycée des métiers de l'image;NORMANDIE;ensemble;38.0;37.0;34.0;3.0;47.0;;;;;
cumul 2019-2020;0772296C;Lycée polyvalent de la Mare Carrée;ILE-DE-FRANCE;dont élèves en voie pro sco;65.0;50.0;39.0;11.0;43.0;;;;;
cumul 2019-2020;0781297L;Lycée général et technologique Plaine de Neauphle;ILE-DE-FRANCE;dont élèves en voie pro sco;41.0;57.0;57.0;;57.0;;;;;
cumul 2019-2020;0781297L;Lycée général et technologique Plaine de Neauphle;ILE-DE-FRANCE;dont apprentis;18.0;64.0;66.0;-2.0;61.0;;;;;
cumul 2019-2020;0782540M;Lycée polyvalent Jean Rostand;ILE-DE-FRANCE;ensemble;45.0;39.0;38.0;1.0;45.0;;;;;
cumul 2019-2020;0782546U;Lycée général et technologique Le Corbusier;ILE-DE-FRANCE;ensemble;30.0;54.0;55.0;-1.0;54.0;;;;;
cumul 2019-2020;0782557F;Lycée polyvalent Jean-Baptiste Poquelin, lycée des métiers du management et de la gestion;ILE-DE-FRANCE;ensemble;53.0;45.0;43.0;2.0;46.0;;;;;
cumul 2019-2020;0801336T;Lycée professionnel Edouard Branly - Lycée des métiers du design et des technologies;HAUTS-DE-FRANCE;ensemble;68.0;27.0;26.0;1.0;37.0;;;;;
cumul 2019-2020;0801864S;Lycée polyvalent du Vimeu - Lycée des métiers de l'industrie et du tertiaire;HAUTS-DE-FRANCE;ensemble;45.0;30.0;31.0;-1.0;39.0;;;;;
cumul 2019-2020;0801948H;Lycée professionnel privé Saint Martin - Lycée des métiers de l'hôtellerie et de la restauration;HAUTS-DE-FRANCE;ensemble;61.0;45.0;36.0;9.0;45.0;;;;;
cumul 2019-2020;0801949J;Lycée professionnel privé Saint Riquier;HAUTS-DE-FRANCE;ensemble;69.0;;;;;;;;;
cumul 2019-2020;0830058M;Lycée professionnel Georges Cisson - Lycée des métiers de l'automobile et de l'électricité;PROVENCE-ALPES-COTE D'AZUR;ensemble;42.0;27.0;37.0;-10.0;38.0;;;;;
cumul 2019-2020;0840016L;LPO VICTOR HUGO;PROVENCE-ALPES-COTE D'AZUR;dont apprentis;26.0;57.0;53.0;4.0;58.0;;;;;
cumul 2019-2020;0850033Z;Lycée professionnel Eric Tabarly - Lycée des métiers du nautisme, de l'automobile et de l'industrie;PAYS DE LA LOIRE;dont apprentis;;;;;;;;;;
cumul 2019-2020;0860010U;Lycée professionnel Les Terres Rouges;NOUVELLE-AQUITAINE;dont apprentis;49.0;43.0;50.0;-7.0;48.0;;;;;
cumul 2019-2020;0860039A;Lycée professionnel Le Dolmen - Lycée des métiers de la mode et des services;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;47.0;30.0;33.0;-3.0;39.0;;;;;
cumul 2019-2020;0861223M;Lycée pilote innovant International;NOUVELLE-AQUITAINE;dont apprentis;30.0;;;;;;;;;
cumul 2019-2020;0861228T;Lycée général et technologique du Bois d'Amour;NOUVELLE-AQUITAINE;ensemble;48.0;69.0;60.0;10.0;75.0;;;;;
cumul 2019-2020;0870118F;Lycée général et technologique Raoul Dautry;NOUVELLE-AQUITAINE;dont élèves en voie pro sco;39.0;50.0;54.0;-3.0;58.0;;;;;
cumul 2019-2020;0880031F;Lycée professionnel Pierre Gilles de Gennes - Lycée des métiers de l'automobile et du transport;GRAND EST;ensemble;33.0;47.0;41.0;5.0;64.0;;;;;
cumul 2019-2020;0881623L;Lycée professionnel privé Horticulture et Paysage;GRAND EST;ensemble;;;;;;;;;;
cumul 2019-2020;0881651S;Lycée professionnel privé Jeanne d'Arc;GRAND EST;ensemble;38.0;27.0;30.0;-3.0;50.0;;;;;
cumul 2019-2020;0891159B;Lycée professionnel Saint Germain;BOURGOGNE-FRANCHE-COMTE;dont élèves en voie pro sco;53.0;36.0;33.0;3.0;36.0;;;;;
cumul 2019-2020;0900019G;Lycée professionnel Jules Ferry - Lycée des métiers des services aux collectivités, aux entreprises et à la personne;BOURGOGNE-FRANCHE-COMTE;dont élèves en voie pro sco;43.0;21.0;27.0;-7.0;29.0;;;;;
cumul 2019-2020;0910620E;Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie;ILE-DE-FRANCE;ensemble;41.0;46.0;45.0;1.0;49.0;;;;;
cumul 2019-2020;0911254U;Lycée polyvalent Charles Baudelaire, lycée des métiers de la relation client, de la beauté, du soin et des services à la personne;ILE-DE-FRANCE;ensemble;55.0;32.0;34.0;-2.0;38.0;;;;;
cumul 2019-2020;0921166T;Lycée polyvalent Jean Jaurès, lycée des métiers de la santé et du social;ILE-DE-FRANCE;ensemble;44.0;42.0;37.0;5.0;49.0;;;;;
cumul 2019-2020;0921932A;Lycée professionnel privé La Salle Passy Buzenval;ILE-DE-FRANCE;ensemble;74.0;;;;;;;;;
